CrossMoDa,TCIA
1,64
2,176
3,203
4,200
5,6
6,194
7,222
8,57
9,102
10,189
11,101
12,151
13,197
14,124
15,228
16,199
17,13
18,100
19,84
20,49
21,27
22,81
23,246
24,182
25,210
26,34
27,8
28,80
29,26
30,60
31,238
32,66
33,133
34,11
35,180
36,185
37,40
38,225
39,170
40,85
41,198
42,209
43,105
44,109
45,218
46,169
47,132
48,65
49,230
50,212
51,216
52,2
53,128
54,90
55,229
56,112
57,59
58,73
59,245
60,91
61,96
62,145
63,118
64,95
65,7
66,142
67,140
68,129
69,156
70,74
71,221
72,167
73,233
74,12
75,37
76,163
77,63
78,147
79,123
80,25
81,44
82,86
83,21
84,205
85,45
86,29
87,17
88,23
89,68
90,214
91,119
92,126
93,18
94,187
95,10
96,32
97,113
98,162
99,75
100,69
101,161
102,231
103,125
104,89
105,117
106,171
107,104
108,232
109,99
110,166
111,201
112,15
113,41
114,62
115,83
116,248
117,30
118,234
119,92
120,131
121,186
122,138
123,127
124,108
125,31
126,94
127,19
128,42
129,72
130,150
131,70
132,98
133,159
134,243
135,149
136,211
137,190
138,82
139,137
140,4
141,141
142,5
143,179
144,217
145,16
146,24
147,165
148,215
149,115
150,181
151,177
152,148
153,206
154,53
155,79
156,184
157,174
158,110
159,67
160,35
161,153
162,172
163,244
164,226
165,175
166,107
167,48
168,116
169,103
170,122
171,191
172,157
173,146
174,188
175,143
176,164
177,87
178,56
179,88
180,236
181,154
182,183
183,54
184,247
185,47
186,204
187,241
188,1
189,93
190,213
191,135
192,139
193,220
194,136
195,224
196,121
197,134
198,155
199,28
200,195
201,223
202,52
203,193
204,22
205,50
206,120
207,61
208,114
209,51
210,239
211,36
212,178
213,158
214,144
215,14
216,38
217,235
218,76
219,20
220,111
221,33
222,237
223,250
224,173
225,207
226,43
227,46
228,78
229,3
230,202
231,71
232,9
233,192
234,58
235,242
236,55
237,249
238,106
239,240
240,152
241,77
242,196
